,day,title,author,grade,postImage
0,월,참교육,채용택 / 한가람,9.87,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
1,월,뷰티풀 군바리,설이 / 윤성원,9.81,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
2,월,신의 탑,SIU,9.88,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
3,월,똑 닮은 딸,이담,9.98,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
4,월,백수세끼,치즈,9.85,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
5,월,퀘스트지상주의,박태준 만화회사,9.75,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
6,월,장씨세가 호위무사,김인호 / 조형근,9.93,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
7,월,윈드브레이커,조용석,9.83,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
8,월,소녀의 세계,모랑지,9.92,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
9,월,버림받은 왕녀의 은밀한 침실,혜니 / 성혜림,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
10,월,신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.90,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
11,월,우아한 욕망,김종건,9.91,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
12,월,앵무살수,김성진,9.97,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
13,월,별난식당,HO9,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
14,월,절대검감,김두루미 / 티아이 / 한중월야,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
15,월,ㅋㅋ단편.zip,네이버웹툰 작가,9.77,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
16,월,퍼니게임,배진수,9.59,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
17,월,만렙돌파,"성불예정, 임형 / 미노",9.53,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
18,월,잔불의 기사,환댕,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
19,월,나 없는 단톡방,봉수,9.93,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
20,월,개같이 탈출,갬쟈,9.95,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
21,월,순정말고 순종,슈안,9.96,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
22,월,좀비묵시록 82-08,달아 / 경우 / 박스오피스,9.70,https://image-comic.pstatic.net/webtoon/733074/thumbnail/titledescimage/objectImage_287a732e-6a95-4791-a25e-8ad0b0b3685c.png
